Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
WM,Staffordshire,860,The JCB Academy,University Technical College,10030656,119213,200,0,"923,087","30,107",0,0,0,"23,355","23,355",0,"23,250",0,0,"969,691"
SW,Wiltshire,865,The John Bentley School,Academy,10035677,120571,129,0,"518,525","14,901",3,0,0,"7,969","7,969",0,0,"16,800",0,"543,294"
EM,Lincolnshire,925,The John Fielding Special School,Academy Special,10055666,133187,8,8,0,0,0,0,"80,000",858,858,0,0,0,0,"80,858"
GL,Sutton,319,The John Fisher School,School Sixth Form,10006713,113076,242,0,"1,106,192","25,180",1,0,0,"11,495","11,495",0,0,"16,800",0,"1,134,487"
EE,Hertfordshire,919,The John Henry Newman Catholic School,Academy,10036742,121183,342,0,"1,440,006","27,303",3,0,0,"15,991","15,991",0,0,0,0,"1,455,996"
SW,Wiltshire,865,The John of Gaunt School,Academy,10037000,120822,124,0,"504,845","12,146",0,0,0,"12,150","12,150",0,0,0,0,"516,994"
GL,Greenwich,203,The John Roan School,Academy,10084227,141646,171,0,"845,829","43,082",0,0,0,"30,727","30,727",0,0,0,0,"876,557"
SE,Kent,886,The John Wallis Church of England Academy,Academy,10030997,119309,174,0,"757,783","70,974",5,0,0,"18,667","18,667",0,0,"1,200",0,"777,649"
EE,Hertfordshire,919,The John Warner School,Academy,10033227,119627,212,0,"962,068","14,690",7,0,0,"13,109","13,109",0,0,0,0,"975,177"
EM,Nottinghamshire,891,The Joseph Whitaker School,Academy,10035689,120678,149,0,"608,696","17,012",0,0,0,"13,734","13,734",0,0,0,0,"622,430"
SE,Kent,886,The Judd School,School Sixth Form,10006720,113456,390,0,"1,600,473","6,000",0,0,0,"9,600","9,600",0,0,0,0,"1,610,073"
EM,Nottinghamshire,891,The Kimberley School,Academy,10038669,122726,147,0,"607,614","20,191",1,0,0,"15,612","15,612",0,0,0,0,"623,227"
SW,Somerset,933,The King Alfred School an Academy,Academy,10081164,141362,106,0,"415,623","7,082",1,0,0,"13,681","13,681",0,0,0,0,"429,304"
NW,Manchester,352,The King David High School,Academy,10034812,120309,194,0,"733,383","18,348",3,0,0,"8,672","8,672",0,0,0,0,"742,054"
EE,Essex,881,The King Edmund School,Academy,10033701,119868,263,0,"1,131,949","69,249",22,"-15,678",0,"28,896","28,896",0,0,"3,000",0,"1,148,168"
NE,Northumberland,929,The King Edward VI Academy,Academy,10035957,120871,471,7,"1,907,629","27,244",0,0,"42,000","31,721","31,721",0,0,0,0,"1,981,349"
EE,Essex,881,The King John School,Academy,10033419,119652,435,0,"1,781,378","40,275",9,0,0,"24,954","24,954",0,0,"2,400",0,"1,808,731"
EE,Peterborough,874,The King's (The Cathedral) School,Academy,10032307,119404,337,3,"1,393,304","22,114",0,0,"18,000","17,364","17,364",0,0,"1,200",0,"1,429,868"
NE,Middlesbrough,806,The King's Academy,Academy,10016990,118405,161,4,"666,335","44,890",11,"-4,840","24,000","15,895","15,895",0,0,"8,400",0,"709,790"
WM,Staffordshire,860,The King's Ce (VA) School,School Sixth Form,10048626,132080,5,0,"24,375","6,000",0,0,0,899,899,0,0,0,0,"25,274"
WM,Wolverhampton,336,The King's Church of England School,School Sixth Form,10006725,113622,106,0,"488,815","62,734",0,0,0,"18,233","18,233",0,0,600,0,"507,648"
SW,Somerset,933,The Kings of Wessex Academy,Academy,10031581,119289,284,0,"1,137,633","6,000",0,0,0,"13,651","13,651",0,0,0,0,"1,151,284"
SW,Devon,878,The King's School,Academy,10033388,119688,181,0,"722,510","6,000",0,0,0,"11,440","11,440",0,0,"9,600",0,"743,550"
EM,Lincolnshire,925,"The King's School, Grantham",Academy,10034779,120166,252,0,"1,017,479","6,000",0,0,0,"10,326","10,326",0,0,0,0,"1,027,804"
EE,Hertfordshire,919,The Knights Templar School,Academy,10033226,119626,301,0,"1,262,290","10,619",0,0,0,"16,397","16,397",0,0,0,0,"1,278,687"
NW,Cumbria,909,The Lakes School,School Sixth Form,10006731,114022,63,0,"236,304","7,033",3,0,0,"6,423","6,423",0,0,0,0,"242,727"
SE,Slough,871,The Langley Academy,Academy,10024150,118632,220,2,"1,028,415","29,017",10,0,"12,000","19,937","19,937",0,0,0,0,"1,060,352"
EM,Northamptonshire,928,The Latimer Arts College,School Sixth Form,10003788,113431,95,0,"394,036","7,373",11,"-10,053",0,"5,393","5,393",0,0,0,0,"389,376"
GL,Enfield,308,The Latymer School,School Sixth Form,10006733,113025,436,0,"2,058,206","70,840",0,0,0,"17,839","17,839",0,0,600,0,"2,076,645"
GL,Enfield,308,The Lea Valley Academy,Academy,10063064,133098,248,0,"1,226,848","129,596",0,0,0,"37,750","37,750",0,0,0,0,"1,264,598"
SW,Wiltshire,865,The Learning Curve (Voluntary Sector Development),Independent Learning Provider,10006734,111901,39,0,"96,207","13,941",4,"-4,985",0,"2,276","2,276",0,0,0,0,"93,497"
SE,Kent,886,The Leigh Academy,Academy,10021033,118686,258,0,"1,152,160","36,363",0,0,0,"18,621","18,621",0,0,"6,600",0,"1,177,381"
SE,Kent,886,The Leigh UTC,University Technical College,10047247,130560,90,0,"508,200","26,433",12,"-19,300",0,"9,655","9,655",0,0,600,0,"499,155"
SE,Kent,886,The Lenham School,Academy,10062504,134823,43,0,"179,361","15,423",0,0,0,"5,884","5,884",0,0,0,0,"185,246"
SE,East Sussex,845,The Lindfield School,Academy Special,10056076,133471,4,4,0,0,0,0,"40,000",500,500,0,0,0,0,"40,500"
SE,West Sussex,938,The Littlehampton Academy,Academy,10027238,118853,139,2,"557,075","32,445",22,"-29,903","12,000","14,204","14,204",0,0,0,0,"553,376"
GL,Westminster,213,The London College of Beauty Therapy Ltd,Independent Learning Provider,10004013,112691,637,1,"2,906,603","345,848",12,0,"6,000","64,494","56,506","7,988","98,000",0,0,"3,075,097"
GL,Hammersmith and Fulham,205,The London Oratory School,Academy,10034584,120157,335,0,"1,741,477","26,480",0,0,0,"18,758","18,758",0,0,0,0,"1,760,235"
GL,Islington,206,The London Screen Academy ( formerly The Working Title School),Free School,10083773,152079,300,0,"1,592,887","132,589",0,0,0,"38,948","32,184","6,764",0,0,0,"1,631,835"
EM,Derbyshire,830,The Long Eaton School,Academy,10033435,119650,128,1,"507,434","14,045",2,0,"6,000","12,656","12,656",0,0,0,0,"526,090"
SE,Kent,886,The Malling School,School Sixth Form,10006748,113457,71,0,"330,851","35,717",15,"-20,785",0,"11,792","11,792",0,"2,500",0,0,"324,358"
NW,Manchester,352,The Manchester Metropolitan University,Higher Education Provider,10004180,108252,151,0,"648,083","12,672",0,0,0,"8,401","8,401",0,0,0,0,"656,484"
SE,Buckinghamshire,825,The Mandeville School,School Sixth Form,10004183,113976,63,0,"265,939","21,931",3,0,0,"8,473","8,473",0,0,0,0,"274,411"
EM,Nottinghamshire,891,The Manor Academy,Academy,10034785,120158,68,0,"274,059","10,137",0,0,0,"6,616","6,616",0,0,"8,400",0,"289,075"
SE,Kent,886,The Maplesden Noakes School,Academy,10036261,120854,251,0,"1,046,613","50,981",1,0,0,"18,036","18,036",0,"5,000","1,200",0,"1,070,849"
WM,Shropshire,893,The Marches School,Academy,10034750,119979,177,1,"686,352","6,000",0,0,"6,000","18,989","18,989",0,0,0,0,"711,340"
SE,Oxfordshire,931,The Marlborough Church of England School,Academy,10038985,122590,139,0,"587,104","11,072",2,0,0,"9,664","9,664",0,0,0,0,"596,768"
EE,Hertfordshire,919,The Marlborough Science Academy,Academy,10037014,121214,187,0,"810,082","14,825",4,0,0,"14,544","14,544",0,0,0,0,"824,626"
SE,Kent,886,The Marsh Academy,Academy,10021032,118626,91,0,"376,386","30,768",12,"-14,170",0,"12,035","12,035",0,0,0,0,"374,251"
YH,Doncaster,371,The McAuley Catholic High School,Academy,10045940,130146,241,2,"1,007,444","39,822",0,0,"12,000","19,190","19,190",0,0,0,0,"1,038,634"
WM,Staffordshire,860,The Meadows School,Academy Special,10057647,133058,45,45,0,0,0,0,"450,000","4,828","4,828",0,0,0,0,"454,828"
SW,Somerset,933,The Mendip School,Free School Special,10053403,132674,12,12,0,0,0,0,"120,000","1,287","1,287",0,0,0,0,"121,287"
GL,Lambeth,208,The Michael Tippett College,Special Post-16 Institution,10067866,141017,30,30,"189,425","33,525",0,0,"180,000","6,222","3,218","3,004",0,0,0,"375,648"
SE,Milton Keynes,826,The Milton Keynes Academy,Academy,10027539,118892,204,0,"963,593","115,494",6,0,0,"19,107","19,107",0,0,0,0,"982,700"
EM,Nottinghamshire,891,The Minster School,Academy,10081959,140571,312,0,"1,242,829","8,853",0,0,0,"17,731","17,731",0,0,0,0,"1,260,560"
YH,Kirklees,382,The Mirfield Free Grammar,Academy,10033389,119643,387,1,"1,661,004","110,393",1,0,"6,000","57,006","57,006",0,0,"11,400",0,"1,735,409"
SE,Buckinghamshire,825,The Misbourne School,Academy,10066410,134326,126,2,"566,162","7,313",1,0,"12,000","7,472","7,472",0,0,0,0,"585,634"
NW,Wirral,344,The Mosslands School,School Sixth Form,10006758,113536,162,0,"769,793","111,122",9,"-2,454",0,"20,768","20,768",0,0,0,0,"788,108"
SE,East Sussex,845,The Mount Camphill Community Ltd,Special Post-16 Institution,10004444,114890,26,26,"136,807","29,055",8,"-13,900","156,000","2,789","2,789",0,0,0,0,"281,696"
SE,Surrey,936,The National Centre for Young People With Epilepsy Charitable Trust,Special Post-16 Institution,10004502,114831,107,107,"630,576","119,571",0,0,"642,000","11,479","11,479",0,0,0,0,"1,284,055"
EM,Nottinghamshire,891,The National CofE Academy,Academy,10034751,120159,128,0,"532,440","13,618",7,0,0,"10,490","10,490",0,0,"8,400",0,"551,329"
NW,Cumbria,909,The Nelson Thomlinson School,School Sixth Form,10006762,114024,198,0,"796,041","12,769",0,0,0,"13,913","13,913",0,0,"4,200",0,"814,154"
EE,Cambridgeshire,873,The Netherhall School,Academy,10049612,132984,196,2,"800,096","11,925",0,0,"12,000","14,164","14,164",0,0,0,0,"826,260"
EM,Nottinghamshire,891,The Newark Academy,Academy,10063183,138519,40,0,"164,908","6,000",0,0,0,"4,172","4,172",0,0,0,0,"169,080"
EE,Norfolk,926,The Nicholas Hamond Academy,Academy,10039368,122493,38,0,"167,722","17,194",19,"-31,618",0,"4,077","4,077",0,0,0,0,"140,181"
EE,Hertfordshire,919,The Nobel School,School Sixth Form,10006765,113206,283,0,"1,156,641","15,955",3,0,0,"18,579","18,579",0,0,0,0,"1,175,220"
YH,Calderdale,381,The North Halifax Grammar School,Academy,10033786,119786,357,1,"1,457,795","60,147",0,0,"6,000","26,128","26,128",0,0,0,0,"1,489,923"
SE,Kent,886,The North School,School Sixth Form,10017237,119098,138,0,"603,732","32,064",0,0,0,"15,993","15,993",0,0,0,0,"619,725"
SE,Kent,886,The Norton Knatchbull School,Academy,10036999,121028,239,0,"956,295","9,052",0,0,0,"13,668","13,668",0,0,0,0,"969,962"
EM,Nottingham,892,The Nottingham Emmanuel School,Academy,10041827,123817,108,0,"478,549","42,011",5,0,0,"11,293","11,293",0,0,0,0,"489,843"
NW,Wirral,344,The Oldershaw Academy,Academy,10034155,119895,88,4,"431,683","73,548",0,0,"24,000","22,028","22,028",0,0,0,0,"477,712"
NW,Oldham,353,The Oldham College,General FE and Tertiary,10006770,110734,"2,201",100,"10,131,373","2,173,470",34,0,"600,000","551,444","389,831","161,613","247,500","7,200",0,"11,537,517"
EE,Norfolk,926,The Open Academy,Academy,10024180,118673,82,0,"350,156","37,958",2,0,0,"9,774","9,774",0,0,"9,000",0,"368,931"
SE,Surrey,936,The Orpheus Centre Trust,Special Post-16 Institution,10009111,116088,36,36,"212,156","40,229",0,0,"216,000","3,862","3,862",0,0,0,0,"432,018"
SE,Oxfordshire,931,The Oxford Academy,Academy,10024191,118674,152,0,"614,771","69,571",0,0,0,"13,421","13,421",0,0,"1,800",0,"629,992"
GL,Redbridge,317,The Palmer Catholic Academy,Academy,10034821,120088,204,1,"924,415","28,510",3,0,"6,000","25,229","25,229",0,0,0,0,"955,644"
EM,Northamptonshire,928,The Parker E-ACT Academy,Academy,10037573,121897,152,2,"612,352","20,542",5,0,"12,000","16,307","16,307",0,0,"5,400",0,"646,059"
GL,Hackney,204,The Petchey Academy,Academy,10016194,118653,170,0,"911,962","91,825",3,0,0,"18,238","18,238",0,0,0,0,"930,200"
WM,Sandwell,333,The Phoenix Collegiate,School Sixth Form,10030873,119341,230,0,"1,095,562","152,596",0,0,0,"65,168","65,168",0,0,"12,600",0,"1,173,330"
SE,Wokingham,872,The Piggott School,Academy,10034161,119891,316,6,"1,419,029","19,499",0,0,"36,000","13,780","13,780",0,"13,250",0,0,"1,482,059"
EM,Derbyshire,830,The Pingle Academy,Academy,10063076,138163,174,2,"692,952","14,555",1,0,"12,000","16,546","16,546",0,0,0,0,"721,498"
EE,Essex,881,The Pioneer School,Academy Special,10037494,122071,30,30,0,0,0,0,"300,000","3,218","3,218",0,0,0,0,"303,218"
WM,Warwickshire,937,The Polesworth School,Academy,10032964,119512,272,0,"1,075,944","13,293",3,0,0,"20,572","20,572",0,0,0,0,"1,096,516"
EM,Lincolnshire,925,The Priory Academy LSST,Academy,10024304,118690,479,0,"1,966,176","49,746",0,0,0,"27,963","27,963",0,0,0,0,"1,994,140"
EM,Lincolnshire,925,The Priory City of Lincoln Academy,Academy,10024303,118689,87,0,"397,323","46,013",1,0,0,"12,592","12,592",0,0,0,0,"409,915"
SE,Surrey,936,The Priory CofE Voluntary Aided School,School Sixth Form,10006784,113077,45,0,"202,590","12,710",1,0,0,"4,066","4,066",0,0,0,0,"206,655"
EM,Lincolnshire,925,The Priory Ruskin Academy,Academy,10031140,119334,210,0,"852,793","30,304",11,"-2,005",0,"22,529","22,529",0,0,"4,800",0,"878,117"
EE,Hertfordshire,919,The Priory School,School Sixth Form,10006786,113541,177,0,"732,001","9,033",0,0,0,"13,825","13,825",0,0,"9,000",0,"754,825"
EM,Lincolnshire,925,The Priory Witham Academy,Academy,10024145,118688,74,0,"336,101","41,841",5,"-3,818",0,"6,499","6,499",0,0,"2,400",0,"341,182"
SW,Dorset,838,The Purbeck School,School Sixth Form,10006789,114315,154,0,"622,962","6,628",0,0,0,"16,930","16,930",0,0,0,0,"639,891"
EM,Lincolnshire,925,"The Queen Elizabeth's High School, Gainsborough",School Sixth Form,10005331,113730,277,0,"1,115,626","20,236",0,0,0,"16,336","16,336",0,0,0,0,"1,131,962"
NW,Cumbria,909,The Queen Katherine School,Academy,10033250,119629,197,2,"750,204","6,000",0,0,"12,000","13,937","13,937",0,0,"24,000",0,"800,141"
GL,Croydon,306,The Quest Academy,Academy,10031227,119329,137,1,"661,712","48,502",1,0,"6,000","14,697","14,697",0,0,0,0,"682,410"
SE,Milton Keynes,826,The Radcliffe School,School Sixth Form,10006791,113829,157,0,"735,710","35,035",7,0,0,"23,023","23,023",0,0,0,0,"758,733"
GL,Bromley,305,The Ravensbourne School,Academy,10033410,119670,598,0,"2,815,937","215,125",9,0,0,"59,770","59,770",0,0,600,0,"2,876,307"
EE,Hertfordshire,919,The Reach Free School,Studio School,10041671,123363,42,0,"190,602","6,000",0,0,0,"4,506","4,506",0,0,"1,200",0,"196,307"
SE,West Sussex,938,The Regis School,Academy,10036066,120908,168,0,"695,716","30,968",1,0,0,"17,552","17,552",0,0,0,0,"713,268"
GL,Bexley,303,The Reynolds Group Ltd,Independent Learning Provider,10006797,110183,130,0,"572,964","69,325",21,"-22,880",0,"14,988","13,589","1,399",0,0,0,"565,072"
YH,Doncaster,371,The Ridge Employability College Ltd,Special Post-16 Institution,10057205,134394,28,28,"147,331","31,290",0,0,"168,000","3,004","3,004",0,0,0,0,"318,335"
SE,Surrey,936,The Ridgeway School,Academy Special,10053925,131450,29,29,0,0,0,0,"290,000","3,111","3,111",0,0,0,0,"293,111"
SW,Swindon,866,The Ridgeway School & Sixth Form College,Academy,10034817,120160,197,0,"784,481","13,134",10,0,0,"13,432","13,432",0,0,"26,400",0,"824,313"
EM,Derbyshire,830,The Ripley Academy,Academy,10047141,130616,77,0,"308,589","23,136",8,"-7,485",0,"8,446","8,446",0,0,600,0,"310,151"
GL,Hounslow,313,The Rise Free School,Free School Special,10046715,130551,15,15,0,0,0,0,"150,000","1,609","1,609",0,0,0,0,"151,609"
SE,Medway,887,The Robert Napier School,Academy,10038456,121891,97,4,"441,644","45,814",0,0,"24,000","9,718","9,718",0,0,0,0,"475,362"
EM,Leicestershire,855,The Robert Smyth Academy,Academy,10034769,120161,284,1,"1,142,427","12,321",2,0,"6,000","17,671","17,671",0,0,0,0,"1,166,099"
SE,Medway,887,The Rochester Grammar School,Academy,10032200,119362,294,0,"1,234,123","19,048",0,0,0,"17,584","17,584",0,0,"4,200",0,"1,255,907"
SE,Buckinghamshire,825,"The Royal Grammar School, High Wycombe",Academy,10033016,119484,366,2,"1,598,294","7,572",0,0,"12,000","12,532","12,532",0,0,0,0,"1,622,826"
SE,Kent,886,The Royal Harbour Academy,School Sixth Form,10028150,126950,77,0,"373,911","70,045",0,0,0,"14,991","14,991",0,0,"5,400",0,"394,302"
WM,Wolverhampton,336,"The Royal School, Wolverhampton",Free School,10056991,132851,174,0,"741,976","64,762",0,0,0,"18,667","18,667",0,0,"15,000",0,"775,643"
NW,Cheshire West and Chester,896,The Russett School,Academy Special,10053926,132429,10,10,0,0,0,0,"100,000","1,073","1,073",0,0,0,0,"101,073"
EE,Essex,881,The Sandon School,Academy,10034752,120240,160,0,"644,096","6,000",3,0,0,"10,318","10,318",0,0,0,0,"654,414"
EE,Hertfordshire,919,The Sele School,Academy,10038105,120797,49,0,"220,425","7,317",1,0,0,"4,798","4,798",0,0,0,0,"225,223"
YH,Sheffield,373,The Sheffield College,General FE and Tertiary,10005788,106996,"4,908",235,"22,953,199","3,949,241",177,0,"1,410,000","918,776","598,804","319,972","432,500",0,0,"25,714,475"
WM,Shropshire,893,The Shropshire Council,Local Authority,10005825,110136,0,0,"6,240","6,240",0,0,0,0,0,0,0,0,0,"6,240"
SW,Dorset,838,The Sir John Colfox Academy,Academy,10049314,124140,141,0,"550,727","18,961",3,0,0,"12,879","12,879",0,0,"13,200",0,"576,806"
SE,West Sussex,938,The Sir Robert Woodard Academy,Academy,10027237,118898,99,0,"451,973","27,322",0,0,0,"8,261","8,261",0,0,0,0,"460,234"
EE,Essex,881,The Sixth Form College Colchester,Sixth Form College,10005881,108395,"2,951",15,"12,029,980","281,809",0,0,"90,000","294,865","173,297","121,568",0,"14,400",0,"12,429,245"
SE,Hampshire,850,The Sixth Form College Farnborough,Academy,10065175,139853,"3,833",5,"16,015,949","679,001",2,0,"30,000","163,469","148,971","14,498",0,0,0,"16,209,417"
WM,Solihull,334,"The Sixth Form College, Solihull",Academy,10064663,139472,"2,164",10,"9,132,307","683,327",6,0,"60,000","262,173","194,193","67,980",0,0,0,"9,454,480"
SE,Kent,886,The Skinners' School,Academy,10044808,129554,294,0,"1,196,495","6,000",0,0,0,"10,417","10,417",0,0,"24,000",0,"1,230,912"
EM,Nottinghamshire,891,The South Wolds Academy & Sixth Form,Academy,10037436,121854,123,0,"476,032","6,000",0,0,0,"6,312","6,312",0,0,0,0,"482,344"
SW,Torbay,880,The Spires College,School Sixth Form,10007450,114028,140,0,"656,064","87,146",1,0,0,"17,965","17,965",0,0,"1,800",0,"675,829"
NW,Oldham,353,The Springboard Project,Free School Special,10083795,141653,13,13,0,0,0,0,"130,000","1,395","1,395",0,0,0,0,"131,395"
EE,Southend-on-Sea,882,The St Christopher School,Academy Special,10036831,121050,7,7,0,0,0,0,"70,000",751,751,0,0,0,0,"70,751"
GL,Westminster,213,The St Marylebone CofE School,Academy,10035059,120352,337,10,"1,693,576","67,771",0,0,"60,000","41,757","41,757",0,0,0,0,"1,795,333"
EE,Luton,821,The Stockwood Park Academy,Academy,10021096,118599,57,0,"259,767","32,675",1,0,0,"6,115","6,115",0,0,0,0,"265,882"
WM,Worcestershire,885,The Stourport High School and Sixth Form College,Academy,10034690,120162,105,0,"428,303","11,792",0,0,0,"10,751","10,751",0,0,0,"32,500","471,554"
WM,Walsall,335,The Streetly Academy,Academy,10035849,120669,184,0,"750,294","36,102",0,0,0,"18,276","18,276",0,0,"12,600",0,"781,170"
NW,Liverpool,341,The Studio @ DEYES,Studio School,10057027,132682,26,0,"138,695","28,021",3,"-1,258",0,"2,789","2,789",0,0,0,0,"140,226"
NW,Liverpool,341,The Studio School Liverpool,Studio School,10041689,122532,117,0,"516,419","61,812",0,0,0,"14,717","14,717",0,"22,500",0,0,"553,636"
NW,St. Helens,342,The Sutton Academy,Academy,10030494,119197,108,0,"528,230","62,036",1,0,0,"14,560","14,560",0,0,0,0,"542,790"
EE,Essex,881,The Sweyne Park School,Academy,10040978,124071,193,0,"779,573","9,193",1,0,0,"20,705","20,705",0,0,0,0,"800,278"
GL,Barking and Dagenham,301,The Sydney Russell School,Academy,10048673,131695,203,0,"996,632","83,488",0,0,0,"26,351","26,351",0,0,"25,800",0,"1,048,783"
EE,Norfolk,926,The Thetford Academy,Academy,10031106,119327,111,0,"465,468","31,441",11,"-11,740",0,"10,846","10,846",0,0,"2,400",0,"466,975"
WM,Shropshire,893,"The Thomas Adams School, Wem",School Sixth Form,10000131,114262,192,0,"752,693","12,434",0,0,0,"12,616","12,616",0,0,0,0,"765,309"
EE,Hertfordshire,919,The Thomas Alleyne School,Academy,10042950,124697,68,0,"278,419","6,000",0,0,0,"4,873","4,873",0,0,"3,000",0,"286,292"
SE,Medway,887,The Thomas Aveling School,Academy,10035084,120451,170,0,"714,938","23,803",10,"-4,218",0,"19,686","19,686",0,0,"3,000",0,"733,406"
SW,Dorset,838,The Thomas Hardye School,Academy,10034818,120163,743,0,"2,987,686","29,052",0,0,0,"48,468","48,468",0,0,0,0,"3,036,153"
GL,Kingston upon Thames,314,The Tiffin Girls' School,Academy,10033329,119529,321,0,"1,468,383","8,634",0,0,0,"13,947","13,947",0,0,"37,200",0,"1,519,530"
EM,Nottingham,892,The Trinity Catholic School A Voluntary Academy,Academy,10037783,122324,222,0,"988,016","93,493",3,0,0,"19,714","19,714",0,0,0,0,"1,007,730"
GL,Camden,202,The UCL Academy,Academy,10035564,120181,262,0,"1,317,211","68,338",0,0,0,"28,107","28,107",0,0,"31,800",0,"1,377,118"
WM,Birmingham,330,The University of Birmingham School,University Technical College,10053408,132663,227,0,"973,489","86,002",0,0,0,"24,353","24,353",0,0,0,0,"997,842"
GL,Islington,206,The Urdang Academy,Independent Learning Provider,10009099,108287,51,0,"295,384","6,061",3,"-3,400",0,"5,471","5,471",0,0,0,0,"297,456"
GL,Redbridge,317,The Ursuline Academy Ilford,Academy,10035147,120348,160,0,"719,369","28,981",0,0,0,"17,847","17,847",0,0,0,0,"737,216"
YH,North Lincolnshire,813,The Vale Academy,Academy,10035131,120463,85,0,"365,631","6,051",0,0,0,"6,586","6,586",0,0,0,0,"372,217"
SE,Medway,887,The Victory Academy,Academy,10030225,119166,89,0,"420,135","56,543",8,"-6,835",0,"8,177","8,177",0,0,"4,200",0,"425,676"
GL,Brent,304,The Village School,Academy Special,10082663,141089,47,47,0,0,0,0,"470,000","5,042","5,042",0,0,0,0,"475,042"
GL,Barking and Dagenham,301,The Warren School,Academy,10046933,131291,199,0,"995,588","85,389",50,"-76,040",0,"29,052","29,052",0,0,0,0,"948,601"
SE,Oxfordshire,931,The Warriner School,Academy,10053519,132407,138,0,"590,166","6,000",0,0,0,"14,805","14,805",0,0,"12,600",0,"617,571"
EE,Hertfordshire,919,The Watford UTC,University Technical College,10047246,130567,79,0,"344,796","25,127",20,"-30,380",0,"8,475","8,475",0,0,0,0,"322,891"
SW,Wiltshire,865,The Wellington Academy,Academy,10027541,118900,100,0,"448,361","29,351",0,0,0,"5,960","5,960",0,0,0,0,"454,321"
YH,North Yorkshire,815,The Wensleydale School,School Sixth Form,10007390,113419,36,0,"150,000","6,000",0,0,0,"2,400","2,400",0,0,0,0,"152,400"
EM,Nottinghamshire,891,The West Bridgford School,Academy,10033343,119543,372,0,"1,479,602","8,583",1,0,0,"11,629","11,629",0,0,"18,000",0,"1,509,231"
SE,Slough,871,The Westgate School,Academy,10036991,121066,181,2,"816,699","26,432",1,0,"12,000","11,090","11,090",0,0,"6,600",0,"846,389"
WM,Staffordshire,860,The Weston Road Academy,Academy,10035509,120583,71,0,"290,418","6,000",0,0,0,"5,704","5,704",0,0,0,0,"296,123"
WM,Coventry,331,The Westwood Academy,Academy,10034808,120225,41,1,"173,774","12,281",0,0,"6,000","2,836","2,836",0,0,"3,000",0,"185,610"
NW,Cheshire West and Chester,896,The Whitby High School,School Sixth Form,10006862,114220,201,0,"845,467","34,452",0,0,0,"15,412","15,412",0,0,0,0,"860,879"
NW,Cumbria,909,The Whitehaven Academy,Academy,10082087,141575,14,0,"61,644","7,487",0,0,0,"1,250","1,250",0,0,0,0,"62,894"
SE,Kent,886,The Whitstable School,Academy,10068468,138394,92,0,"441,504","31,259",3,0,0,"10,651","10,651",0,0,"1,200",0,"453,355"
SE,West Berkshire,869,The Willink School,School Sixth Form,10006865,114706,162,0,"729,843","6,000",3,0,0,"6,508","6,508",0,0,600,0,"736,951"
SW,Wiltshire,865,THE WILTSHIRE COUNCIL,Local Authority,10007528,110145,0,0,960,960,0,0,0,0,0,0,0,0,0,960
SE,Windsor and Maidenhead,868,The Windsor Boys' School,Academy,10048923,132044,231,0,"1,040,341","15,702",13,"-4,291",0,"10,367","10,367",0,0,0,0,"1,046,417"
SE,Slough,871,The Windsor Forest Colleges Group ,General FE and Tertiary,10002107,107745,"2,818",66,"13,223,944","1,200,355",131,0,"396,000","330,061","247,465","82,596","206,250",0,0,"14,156,254"
GL,Camden,202,The WKCIC Group,General FE and Tertiary,10007455,105653,"9,365",400,"49,462,096","6,402,507",594,"-212,386","2,400,000","1,822,628","1,304,306","518,322","461,500",0,0,"53,933,839"
SW,Dorset,838,The Woodroffe School,School Sixth Form,10006869,114080,206,0,"803,486","7,731",1,0,0,"20,160","20,160",0,0,0,0,"823,646"
GL,Hillingdon,312,The Young People's Academy,Academy Special,10047516,131405,1,1,0,0,0,0,"10,000",500,500,0,0,0,0,"10,500"
SE,West Berkshire,869,Theale Green School,Academy,10067328,140775,113,0,"502,940","6,598",1,0,0,"4,896","4,896",0,0,0,0,"507,836"
SE,Surrey,936,Therfield School,Academy,10062359,134796,118,2,"520,933","13,182",1,0,"12,000","5,398","5,398",0,0,"6,000",0,"544,330"
YH,North Yorkshire,815,Thirsk School & Sixth Form College,School Sixth Form,10006883,113418,117,0,"464,247","17,387",0,0,0,"6,865","6,865",0,0,0,0,"471,112"
WM,Staffordshire,860,Thomas Alleyne's High School,Academy,10062638,134795,244,0,"986,046","15,866",0,0,0,"15,953","15,953",0,0,0,0,"1,001,999"
EM,Northamptonshire,928,Thomas Becket Catholic School,Academy,10056068,133818,107,0,"461,069","51,947",1,0,0,"10,420","10,420",0,0,0,0,"471,489"
SE,West Sussex,938,Thomas Bennett Community College,Academy,10038686,120900,100,2,"461,911","30,094",36,"-57,985","12,000","11,920","11,920",0,0,0,0,"427,846"
NE,Newcastle upon Tyne,391,Thomas Bewick School,Academy Special,10082995,141622,15,15,0,0,0,0,"150,000","1,609","1,609",0,0,0,0,"151,609"
